to;from;sim;source
У него, как он говорит, «разыгралась грыжа».;"Лэстэ, сыр ёв ракирла, „розгрызиндяпэ грыжа"".";0.8058559894561768;spat_khoch
Боль так сильна, что он не может выговорить ни одного слова и только втягивает в себя воздух и отбивает зубами барабанную дробь: — Бу-бу-бу-бу...;Дукх адякэ бари, со ёв на могискирла тэ проракир ни екх лав и только втырдэла дрэ пэстэ фано и отмарла дандэнца барабанно дробь: —	Бу-бу-бу-бу...;0.8502256274223328;spat_khoch
Мать Пелагея побежала в усадьбу к господам сказать, что Ефим помирает.;Дай Пелагея прастандыя прэ рангиро кхэр ко рая тэ пхэнэл, со Ефимо мэрла.;0.8236229419708252;spat_khoch
Она давно уже ушла и пора бы ей вернуться.;Ёй ґара ужэ угыя, и лакэ трэби ужэ тэ рисёл.;0.7806897163391113;spat_khoch
Варька лежит на печи, не спит и прислушивается к отцовскому «бу-бу-бу».;"Варька пашлы про бов, нанэ суты и пришунэлапэ кэ дадэскиро „бу-бу-бу"".";0.7998743057250977;spat_khoch
Но вот слышно, кто-то подъехал к избе.;Нэ окэ шундло сы, со кон-то подгыя ко кхэр.;0.7980262637138367;spat_khoch
"Это господа прислали молодого доктора, который приехал к ним из города в гости. Доктор входит в избу; его не видно в потемках, но слышно, как он кашляет и щелкает дверью.";Адава о рая прибичядэ тэрнэ састыпнытконэс, саво явья кэ ёнэ э форостыр дро гости, шундло сы сыр ёв кашлинэ и запхандэла удэра.;0.37421590089797974;spat_khoch
— Засветите огонь, — говорит он.;—	Захачкирэн э яг, — ракирла ёв.;0.7656658887863159;spat_khoch
— Бу-бу-бу... — отвечает Ефим.;—	Бу-бу-бу... — отпхэнэлапэ Ефимо.;0.9533311128616333;spat_khoch
Пелагея бросается к печке и начинает искать черепок со спичками.;Пелагея чюрдэлапэ ко бов и родэла черэпко э ягитконэнца.;0.6441664695739746;spat_khoch
Проходит минута в молчании.;Мэнта сыс сарэ штыл.;0.4942958950996399;spat_khoch
Доктор, порывшись в карманах, зажигает свою спичку.;Састыпнаскиро, дыяпэ дрэ кисык и захачкирдя пэскири ягитко.;0.40096575021743774;spat_khoch
— Сейчас, батюшка, сейчас, — говорит Пелагея, бросается вон из избы и немного погодя возвращается с огарком.;— Екхатыр, мро дароро, екхатыр,— ракирла Пелагея: чюрдэлапэ яври э кхэрэстыр и, набут смэки, явья огаркоса.;0.8138145208358765;spat_khoch
Щеки у Ефима розовые, глаза блестят и взгляд как-то особенно остр, точно Ефим видит насквозь и избу и доктора.;Чямья э Ефимостэ розова, якха блестинэна, и дыкхэна сыр-то дрэван острэс, сыр хай Ефимо дыкхэла насквозь и кхэр и састыпнытконэс.;0.8382291197776794;spat_khoch
— Ну, что?;—	Нэ. Со?;0.8951336741447449;spat_khoch
Что ты это вздумал? — говорит доктор, нагибаясь к нему.;Со ту адава вздуминдян? — ракирла састыпнытко, збандёви кэ ёв.;0.8178887367248535;spat_khoch
— Эге!;— Эге!;1.0;spat_khoch
Давно ли это у тебя?;Гара ли адава тутэ?;0.7966295480728149;spat_khoch
— Чего-с?;—	Со?;0.9363609552383423;spat_khoch
Помирать, ваше благородие, пришло время...;Тэ мэрав, мрэ рая, явья времё...;0.8189494013786316;spat_khoch
Не быть мне в живых...;Тэ на явав мангэ джидэса...;0.8294671177864075;spat_khoch
— Полно вздор говорить...;—	Явэла дылныпэ тэ ракирэс...;0.8790112733840942;spat_khoch
Вылечим!;Высастякираса!;0.8976976871490479;spat_khoch
— Это как вам угодно, ваше благородие, благодарим покорно, а только мы понимаем...;—	Адава сыр тумэнгэ камэлпэ, парикирава тумэн, мрэ рая, а только амэ поласа...;0.8781778216362;spat_khoch
Коли смерть пришла, что уж тут.;Коли мулыпэ явья, со уж адай.;0.830700695514679;spat_khoch
"Доктор с четверть часа возится с Ефимом; потом поднимается и говорит: — Я ничего не могу поделать...";"Састыпнаскиро пашыл дэшупандж мэнты возинэпэ Ефимоса; отэнчя ґаздэлапэ и ракирла: —	Мэ ничи на могискирава тэ кэрав...";0.7787647247314453;spat_khoch
Тебе нужно в больницу ехать, там тебе операцию сделают.;Тукэ трэби дрэ насвалыпнаскири тэ джяс, одой тукэ операцыя кэрна.;0.662032961845398;spat_khoch
Сейчас же поезжай...;Екхатыр жэ джя...;0.7799839377403259;spat_khoch
Непременно поезжай!;Бисарэскиро джя!;0.7298571467399597;spat_khoch
Немножко поздно, в больнице все уже спят, но это ничего, я тебе записочку дам.;Набуткица поздно, дрэ насвалытко ужэ сарэ сутэ, нэ адава ничи, мэ тукэ лылоро дава.;0.7553011775016785;spat_khoch
Слышишь?;Шунэса?;0.8197660446166992;spat_khoch
— Батюшка, да на чем же он поедет? — говорит Пелагея.;—	Мро дадоро, тэ прэ сожэ ёв джяла? — ракирла Пелагея.;0.8518244624137878;spat_khoch
— У нас нет лошади.;— Амэндэ нанэ грэс.;0.8662490844726562;spat_khoch
— Ничего, я попрошу господ, они дадут лошадь.;—	Ничи, мэ помангава э ран, ёнэ дэна грэс.;0.6881353259086609;spat_khoch
Доктор уходит, свеча тухнет, и опять слышится «бу-бу-бу»...;"Састыпнытко угыя, мэлэлы мурдыя, и отэнчя шунэлапэ „бу-бу-бу""...";0.7229200601577759;spat_khoch
Спустя полчаса к избе кто-то подъезжает.;Смэки пашмардо, ко кхэр кон-то подджяла.;0.24850605428218842;spat_khoch
Это господа прислали тележку, чтобы ехать в больницу.;Адава о рая прибичядэ урдэн, соб тэ джяс дрэ насвалытко.;0.5975749492645264;spat_khoch
Ефим собирается и едет...;Ефимо скэдэлапэ и джяла...;0.9042315483093262;spat_khoch
Но вот наступает хорошее, ясное утро.;Нэ окэ явья лачё, парно злоко.;0.6365531086921692;spat_khoch
Пелагеи нет дома: она пошла в больницу узнать, что делается с Ефимом.;Пелагэя нанэ кхэрэ: ёй гыя дрэ насвалытко тэ уґалёл, со кэрлапэ Ефимоса.;0.846314549446106;spat_khoch
Где-то плачет ребенок, и Варька слышит, как кто-то ее голосом поет: — Баю-баюшки-баю, а я песенку спою...;Кай-то ровэла тыкно раклоро, и Варька шунэла, сыр кон-то лакирэ глосаса багала: —	Баю-баю-баю, а мэ гилори збагава...;0.8994896411895752;spat_khoch
"Возвращается Пелагея; она крестится и шепчет: — Ночью вправили ему, а к утру богу душу отдал...";"Явья Пелагея; ёй тховэла прэ пэстэ трушыл и шэпчинэ: —	Ратяса вправиндлэ лэскэ, а ко злоко дэвлэскэ о ди отдыя.";0.8578649759292603;spat_khoch
Царство небесное, вечный покой...;Царство болыбнаскиро, вечно покоё...;0.8347338438034058;spat_khoch
Сказывают, поздно захватили...;Ракирна, позднэс заухтылдэ...;0.750230073928833;spat_khoch
Надо бы раньше...;Трэбинэ сыс гарыдыр ..;0.5545966029167175;spat_khoch
Варька идет в лес и плачет там, но вдруг кто-то бьет ее по затылку с такой силой, что она стукается лбом о березу.;Варька джяла дро вэш и ровэла одой. Нэ екхатыр кон-то марла ла пиро шэро адасавэ зорьяса, со ёй стукинэпэ чэкатэса пирэ брэза.;0.7001277208328247;spat_khoch
Она поднимает глаза и видит перед собой хозяина-сапожника.;Ёй ґаздэла якха и дыкхэла ангил пэстэ хулас — тырахарис.;0.717457115650177;spat_khoch
— Ты что же это, паршивая? — говорит он.;—	Ту со ж адава, паршыво? — ракирла ёв.;0.9275723099708557;spat_khoch
— Дитё плачет, а ты спишь?;— Чяворо ровэла, а ту суты?;0.8526856303215027;spat_khoch
Он больно треплет ее за ухо, а она встряхивает головой, качает колыбель и мурлычет свою песню.;Ёв дукханэс трэнскирла ла пало кан, а ёй ґаздэла о шэро, кунынэ куна и багала пэскири гилы.;0.8024063110351562;spat_khoch
Зеленое пятно и тени от панталон и пеленок колеблются, мигают ей и скоро опять овладевают ее мозгом.;Зэлэно пятно и тени э холовэндыр и пелёнкэндыр кунынэнапэ, мигинэна лакэ и сыго отэнчя закэдэна лакири годы.;0.7288227677345276;spat_khoch
Опять она видит шоссе, покрытое жидкою грязью.;Отэнчя ёй дыкхэла шоссе, учякирдо жыдконэ блатаса.;0.7694258689880371;spat_khoch
Люди с котомками на спинах и тени разлеглись и крепко спят.;Мануша гонэнца про думэ и тени роспасинэпэ и зоралэс сутэ.;0.6300184726715088;spat_khoch
"Глядя на них, Варьке страстно хочется спать; она легла бы с наслаждением, но мать Пелагея идет рядом и торопит ее.";"Дыкхи прэ лэндэ, Варькакэ дрэван камэлпэ тэ совэл; ёй пасёлас бы барэ камаибнаса, нэ э дай Пелагея джяла пашыл и традэла ла.";0.8826274275779724;spat_khoch
Обе они спешат в город наниматься.;Сарэ дуй ёнэ джяна дро форэ тэ тэрдён прэ буты.;0.6212525367736816;spat_khoch
— Подайте милостынки Христа ради! — просит мать у встречных.;—	Подэнте милостинка ваш дэвлэскэ! — мангэла э дай встречнонэндэ.;0.6865737438201904;spat_khoch
— Явите божескую милость, господа милосердные!;— Сыкавэнте дэвлэскири милость, рая милосердна!;0.9143502712249756;spat_khoch
— Подай сюда ребенка! — отвечает ей чей-то знакомый голос.;—	Подэ адарик э чяворэс! — отпхэнэлапэ лакэ конэскири-то джиндлы глос.;0.6200914978981018;spat_khoch
— Подай сюда ребенка! — повторяет тот же голос, но уже сердито и резко.;— Подэ адарик э чяворэс! — ракирла вавир моло одоя жэ глос, нэ ужэ холямэс и резкэс.;0.7885818481445312;spat_khoch
— Слышишь, подлая?;— Суты подло?;0.6718178987503052;spat_khoch
Варька вскакивает и, оглядевшись, понимает, в чем дело: нет ни шоссе, ни Пелагеи, ни встречных, а стоит посреди комнатки одна только хозяйка, которая пришла покормить своего ребенка.;Варька ухтэла и, подыкхи пиро строны, полэла, дрэ со рэндо: ни дром, ни Пелагея, ни встречнонэн, а тэрды машкир штуба екх только хуланы, сави явья тэ почяравэл пэскирэ чяворэс.;0.8661972284317017;spat_khoch
Пока толстая, плечистая хозяйка кормит и унимает ребенка, Варька стоит, глядит на нее и ждет, когда она кончит.;Грубо, буглэ псикэнгири хуланы чяравэла и улэла чяворэс. Варька тэрды, дыкхэла прэ латэ и дужакирла, коли ёй чюрдэла тэ чяравэл.;0.5094879269599915;spat_khoch
А за окнами уже синеет воздух, тени и зеленое пятно на потолке заметно бледнеют.;А пало фэнштры ужэ сининэ фано, тени и зэлэно пятно про потолко кэрдяпэ парнэдыр.;0.8033448457717896;spat_khoch
Скоро утро.;Сыго злоко.;0.5823708772659302;spat_khoch
— Возьми! — говорит хозяйка, застегивая на груди сорочку.;—	Лэ! — ракирла хуланы, закэри про колын о гад.;0.7237222194671631;spat_khoch
— Плачет.;— Ровэла.;0.9242136478424072;spat_khoch
Должно, сглазили.;Ґалёв, якхало дынэ.;0.6691190600395203;spat_khoch
Варька берет ребенка, кладет его в колыбель и опять начинает качать.;Варька лэла чяворэс, тховэла лэс дрэ куна и отэнчя кунынэ.;0.5244426727294922;spat_khoch
Зеленое пятно и тени мало-помалу исчезают и уж некому лезть в ее голову и туманить мозг.;Зэлэно пятно и тени понабут хасёна, и ужэ нанэ конэскэ тэ джял дрэ лакиро шэро и тэ туманин э годы.;0.7717629671096802;spat_khoch
А спать хочется по-прежнему, ужасно хочется!;А тэ совэл камэлпэ, сыр и гарыдыр, дрэван камэлпэ!;0.7037352919578552;spat_khoch
Варька кладет голову на край колыбели и качается всем туловищем, чтобы пересилить сон, но глаза все-таки слипаются и голова тяжела.;Варька тховэла шэро прэ кунакиро краё, кунынэпэ сарэ шталтоса, соб тэ пиризорьякир о соибэ, нэ о якха уса таки закэрнапэ и о шэро кэрлапэ пхарэса.;0.670647144317627;spat_khoch
— Варька, затопи печку! — раздается за дверью голос хозяина.;—	Варькэ, захачкир о бов! — роздэлапэ пало удэра хуласкири глос.;0.7656233906745911;spat_khoch
Значит, уже пора вставать и приниматься за работу.;Акана ужэ трэби тэ уштэс и тэ прилэспэ палэ буты.;0.637505829334259;spat_khoch
Варька оставляет колыбель и бежит в сарай за дровами.;Варька ачявэла куна и прастала дрэ штала пало кашта.;0.7997888326644897;spat_khoch
Она рада.;Ёй радо.;0.9733554720878601;spat_khoch
Когда бегаешь и ходишь, спать уже не так хочется, как в сидячем положении.;Коли прастаса или псирэса, тэ совэс ужэ на адякэ камэлпэ, сыр бэшы.;0.7139673233032227;spat_khoch
Она приносит дрова, топит печь и чувствует, как расправляется ее одеревеневшее лицо и как проясняются мысли.;Ёй анэла кашта, хачкирла бов и росправинэлапэ лакиро одервеневшо муй и кэрлапэ ясно дрэ годы.;0.743363618850708;spat_khoch
— Варька, поставь самовар! — кричит хозяйка.;—	Варькэ тхов о пибнаскиро! — дэла годла э хуланы.;0.6036133766174316;spat_khoch
Варька колет лучину, но едва успевает зажечь их и сунуть в самовар, как слышится новый приказ: — Варька, почисть хозяину калоши!;Варька пхаравэла кхина, нэ только управинэпэ тэ захачкир ла и тэ тховэл дро пибнытко, сыр шунэлапэ нэво припхэныбэ: —	Варькэ, вышулав хуласкэ колошы!;0.8269281387329102;spat_khoch
Она садится на пол, чистит калоши и думает, что хорошо бы сунуть голову в большую, глубокую калошу и подремать в ней немножко...;Ёй бэшэла про пато, шулавэла колошы и думинэ, со шукир бы тэ тховэс шэро дрэ хор колоша и тэ посовэс дрэ латэ набуткица...;0.8391403555870056;spat_khoch
И вдруг калоша растет, пухнет, наполняет собою всю комнату, Варька роняет щетку, но тотчас же встряхивает головой, пучит глаза и старается глядеть так, чтобы предметы не росли и не двигались в ее глазах.;И екхатыр колоша барьёла, шулёла, пхэрдякирла пэса сари штуба, Варька равэла э вастэндыр шшотка, нэ екхатыр ґаздэла о шэро, вылучкирла якха и камэл тэ дыкхэл адякэ, соб предметэ на баринэ и на двигиндлэпэ дрэ лакирэ якха.;0.86287921667099;spat_khoch
— Варька, помой снаружи лестницу, а то от заказчиков совестно!;—	Варькэ, вымор упрал э лестница, а то э запхэныбнытконэндыр ладжяво!;0.8379243016242981;spat_khoch
Варька моет лестницу, убирает комнаты, потом топит другую печь и бежит в лавочку.;Варька морла лестница, укэдэла штубы, отэнчя хачкирла вавир бов и прастала дрэ банза.;0.7962813377380371;spat_khoch
Работы много, нет ни одной минуты свободной.;Буты бут, нанэ ни екх мэнта свободно.;0.6864804625511169;spat_khoch
Но ничто так не тяжело, как стоять на одном месте перед кухонным столом и чистить картошку.;Нэ ничи адякэ нанэ пхаро, сыр тэ тэрдёс прэ екх штэто ангил кухонно скаминд и тэ шулавэс пхувитка.;0.7998673319816589;spat_khoch
Голову тянет к столу, картошка рябит в глазах, нож валится из рук, а возле ходит толстая, сердитая хозяйка с засученными рукавами и говорит так громко, что звенит в ушах.;Шэро тырдэла ко скаминд, пхувитка рябинэна дро якха, чюри пэрла э вастэндыр, а пашыл псирэла грубо, холямы хуланы э закэрдэ баенца и ракирла адякэ шундлэс, со кудунякирлапэ дро кана.;0.7679479122161865;spat_khoch
Мучительно также прислуживать за обедом, стирать, шить.;Адякэжэ бари мэнька сы тэ прислужынэс пало хабэ, тэ морэс, тэ сывэс.;0.6336656212806702;spat_khoch
Бывают минуты, когда хочется, ни на что не глядя, повалиться на пол и спать.;Исы мэнты, коли камэлпэ, ни прэ со на дыкхи, тэ пэрэс про пато и тэ совэс.;0.7235387563705444;spat_khoch
День проходит.;Дывэс проджяла.;0.781362771987915;spat_khoch
Глядя, как темнеют окна, Варька сжимает себе деревенеющие виски и улыбается, сама не зная чего ради.;Дыкхи, сыр калёна фэнштры, Варька стасавэла пэскэ деревенеюшшя виски и салапэ, кокори на джины соскэ.;0.8518073558807373;spat_khoch
Вечерняя мгла ласкает ее слипающиеся глаза и обещает ей скорый, крепкий сон.;Бельвилитко калыпэ ласкинэ лакирэ якха савэ закэрнаэпэ и дэла лакэ сыго, зорало соибэ.;0.427102655172348;spat_khoch
Вечером к хозяевам приходят гости.;Бельвеляса ко хулая явена гости.;0.5400347113609314;spat_khoch
— Варька, ставь самовар! — кричит хозяйка.;—	Варькэ, тхов пиибнаскиро! — дэла годла хуланы.;0.8077731728553772;spat_khoch
Самовар у хозяев маленький, и прежде чем гости напиваются чаю, приходится подогревать его раз пять.;Пиибнаскиро э хуландэ набаро, и соб тэ чялякирэс э гостен драбэса, приджялапэ тэ таткирэс лэс молы пандж.;0.638746976852417;spat_khoch
После чаю Варька стоит целый час на одном месте, глядит на гостей и ждет приказаний.;Коли отпьена о драб, Варька тэрды пхэрдо мардо прэ екх штэто, дыкхэла прэ гостендэ и дужакирла припхэныбэна.;0.8109498620033264;spat_khoch
— Варька, сбегай купи три бутылки пива!;—	Варькэ проста кин трин стэклы бэра!;0.649806022644043;spat_khoch
Она срывается с места и старается бежать быстрее, чтобы прогнать сон.;Ёй срискирлапэ штэтостыр и камэл тэ прастал сыгыдыр, соб тэ протрадэл о соибэ.;0.8477489352226257;spat_khoch
— Варька, сбегай за водкой!;—	Варькэ, праста палэ бравинта!;0.8354072570800781;spat_khoch
Варька, где штопор?;Варькэ, кай штопоро?;0.8587498664855957;spat_khoch
Варька, почисть селедку!;Варькэ, ошулав э мачес!;0.786407470703125;spat_khoch
"Но вот наконец гости ушли; огни тушатся, хозяева ложатся спать.";"Нэ окэ о гости угынэ; яга мурдякирнапэ; хулая пасёна тэ совэн.";0.7742797136306763;spat_khoch
— Варька, покачай ребенка! — раздается последний приказ.;—	Варькэ, кунынэ чяворэс! — роздэлапэ последнё припхэныбэ.;0.8020840883255005;spat_khoch
"В печке кричит сверчок; зеленое пятно на потолке и тени от панталон и пеленок опять лезут в полуоткрытые глаза Варьки, мигают и туманят ей голову.";"Дро бов дэла годла сверчко; зэлэно пятно про потолко и тени э холовэндыр и пелёнкэндыр, отэнчя джяна дро пашоткэрдэ Варькакирэ якха, мигинэна и туманинэна лакэ шэро.";0.8215070366859436;spat_khoch
— Баю-баюшки-баю, — мурлычет она, — а я песенку спою...;—	Баю-баю-бааю, — багала ёй, — а мэ гилори збагава...;0.9153642654418945;spat_khoch
А ребенок кричит и изнемогает от крика.;А чяворо дэла годлы и кхинёла э годлатыр.;0.6909953951835632;spat_khoch
Варька видит опять грязное шоссе, людей с котомками, Пелагею, отца Ефима.;Варька отэнчя дыкхэла мэлало дром, манушэн э гонэнца, Пелагея, дадэс Ефимос.;0.8552443385124207;spat_khoch
Она всё понимает, всех узнает, но сквозь полусон она не может только никак понять той силы, которая сковывает ее по рукам и по ногам, давит ее и мешает ей жить.;Ёй capo полэла, сарэн уґалёла, нэ пирдал пашсунэ ёй на могискирла только нисыр тэ полэл одоя зор, сави спхандэла ла пиро васта и пиро ґэра, тасавэла ла и мешынэ лакэ тэ дживэл.;0.7840865254402161;spat_khoch
Она оглядывается, ищет эту силу, чтобы избавиться от нее, но не находит.;Ёй обдыкхэлапэ, родэла адая зор, соб тэ уджял латыр, нэ на латхэла.;0.7906417846679688;spat_khoch
Наконец, измучившись, она напрягает все свои силы и зрение, глядит вверх на мигающее зеленое пятно и, прислушавшись к крику, находит врага, мешающего ей жить.;Ёй тховэла сари пэскири зор и зрениё про одова, соб тэ на засовэл, дыкхэла дро вэрхо про мигаюшшё зэлэно пятно, пришунэлапэ ко годлыпэ и латхэла ворогос, саво мешынэ лакэ тэ дживэл.;0.5452594757080078;spat_khoch
Этот враг — ребенок.;Адава ворого — чяворо.;0.67799311876297;spat_khoch
Она смеется.;Ёй салапэ.;0.9122377038002014;spat_khoch
Ей удивительно: как это раньше она не могла понять такого пустяка?;Ёй дивисолапэ: сыр адава гарыдыр ёй на могискирдя тэ полэл адасаво пустяко?;0.8834492564201355;spat_khoch
Зеленое пятно, тени и сверчок тоже, кажется, смеются и удивляются.;Зэлэно пятно, тени сверчко тожэ, здэлапэ, санапэ и дивисона.;0.7014892101287842;spat_khoch
Ложное представление овладевает Варькой.;Хохано представлениё облэла Варька.;0.9243725538253784;spat_khoch
Она встает с табурета и, широко улыбаясь, не мигая глазами, прохаживается по комнате.;Ёй уштэла прэ со сыс бэшты и буглэс саи на закэри якха, проджялапэ пирэ штуба.;0.7171316742897034;spat_khoch
Ей приятно и щекотно от мысли, что она сейчас избавится от ребенка, сковывающего ее по рукам и ногам...;Лакэ шукар и шшекотно дрэ годы, со ёй екхатыр явэла бичяворэскиро, саво спхандя ла пиро васта и ґэра...;0.7923762202262878;spat_khoch
Убить ребенка, а потом спать, спать, спать...;Тэ умарэс чяворэс, а отэнчя тэ совэс, тэ совэс, тэ совэс...;0.7842947840690613;spat_khoch
Смеясь, подмигивая и грозя зеленому пятну пальцами, Варька подкрадывается к колыбели и наклоняется к ребенку.;Дыкхи, сыр калёна фэнштры, Варька стасавэла пэскэ деревенеюшшя виски и салапэ, кокори на джины соскэ.;0.637712836265564;spat_khoch
Задушив его, она быстро ложится на пол, смеется от радости, что ей можно спать, и через минуту спит уже крепко, как мертвая...;Коли затасадя лэс, ёй екхатырё пасёла про пато, салапэ э радостятыр со лакэ могискирдо тэ совэл, и пирдал мэнта суты зоралэс, сыр мулы...;0.753836989402771;spat_khoch
